Company name,Valuation (in $B),Date Joined,Country of origin,City,Industry,Investors,Longitude,Latitude,longitude,latitude,lon,lat
Bytedance,140,07-04-2017,China,Beijing,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Stripe,95,23-01-2014,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
SpaceX,74,01-12-2012,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.3483256,33.9188589
Didi Chuxing,62,31-03-2015,China,Beijing,Auto & transportation,"Matrix Partners, Tiger Global Management, Softbank Corp.,",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Klarna,45.6,12-12-2011,Sweden,Stockholm,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",14.5208584,59.6749712,14.5208584,59.6749712,18.0710935,59.3251172
Instacart,39,30-12-2014,United States,San Francisco,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Nubank,30,01-03-2018,Brazil,Sao Paulo,Fintech,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures",-53.2,-10.3333333,-53.2,-10.3333333,-46.6333824,-23.5506507
Epic Games,28.7,26-10-2018,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-78.7812081,35.7882893
Databricks,28,05-02-2019,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Rivian,27.6,10-09-2019,United States,Plymouth,Auto & transportation,"Amazon, Ford Motor Company, Cox Automotive",-100.4458825,39.7837304,-100.4458825,39.7837304,-4.1425658,50.3712659
BYJU's,16.5,25-07-2017,India,Bengaluru,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",78.6677428,22.3511148,78.6677428,22.3511148,77.5912997,12.9791198
One97 Communications,16,12-05-2015,India,Noida,Fintech,"Intel Capital, Sapphire Ventures, Alibaba Group",78.6677428,22.3511148,78.6677428,22.3511148,77.3271074,28.5707841
Yuanfudao,15.5,31-05-2017,China,Beijing,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
DJI Innovations,15,23-01-2015,China,Shenzhen,Hardware,"Accel Partners, Sequoia Capital",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Canva,15,08-01-2018,Australia,Surry Hills,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",134.755,-24.7761086,134.755,-24.7761086,151.2100301,-33.8845123
SHEIN,15,03-07-2018,China,Shenzhen,E-commerce & direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Checkout.com,15,02-05-2019,United Kingdom,London,Fintech,"Tiger Global Management, Insight Partners, DST Global",-3.2765753,54.7023545,-3.2765753,54.7023545,-0.1276474,51.5073219
Chime,14.5,05-03-2019,United States,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Grab,14.3,04-12-2014,Singapore,,Auto & transportation,"GGV Capital, Vertex Venture Holdings, Softbank Group",103.8194992,1.357107,103.8194992,1.357107,11.0480288,46.3144754
Plaid Technologies,13.5,11-12-2018,United States,San Francisco,Fintech,"New Enterprise Associates, Spar Capital, Index Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Fanatics,12.8,06-06-2012,United States,Jacksonville,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",-100.4458825,39.7837304,-100.4458825,39.7837304,-81.655651,30.3321838
SenseTime,12,11-07-2017,China,Shanghai,Artificial intelligence,"Star VC, IDG Capital, Infore Capital, Alibaba Group",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
JUUL Labs,12,20-12-2017,United States,San Francisco,Consumer & retail,Tiger Global Management,-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Manbang Group,12,24-04-2018,China,Guiyang,"Supply chain, logistics, & delivery","Softbank Group, CapitalG",104.999927,35.000074,104.999927,35.000074,112.72964,25.7561647
Bitmain Technologies,12,06-07-2018,China,Beijing,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Biosplice Therapeutics,12,06-08-2018,United States,San Diego,Health,"Vickers Venture Partners, IKEA GreenTech",-100.4458825,39.7837304,-100.4458825,39.7837304,-117.1627728,32.7174202
Robinhood,11.7,26-04-2017,United States,Menlo Park,Fintech,"Google Ventures, Andreessen Horowitz, DST Global",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.1779927,37.4519671
Global Switch,11.1,22-12-2016,United Kingdom,London,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",-3.2765753,54.7023545,-3.2765753,54.7023545,-0.1276474,51.5073219
Celonis,11,26-06-2018,Germany,Munich,Data management & analytics,"Accel, 83North",10.4234469,51.0834196,10.4234469,51.0834196,11.5753822,48.1371079
Aurora,10,07-02-2019,United States,Mountain View,Auto & transportation,"Index Ventures, Greylock Partners, Lightspeed Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.0832101,37.3893889
Lalamove,10,21-02-2019,Hong Kong,,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",114.1628131,22.2793278,114.1628131,22.2793278,11.0480288,46.3144754
Ripple,10,20-12-2019,United States,San Francisco,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
OutSystems,9.5,05-06-2018,United States,Boston,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.0582912,42.3602534
Klaviyo,9.2,17-11-2020,United States,Boston,Internet software & services,"Summit Partners, Accel, Astral Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.0582912,42.3602534
Roivant Sciences,9.09,09-08-2017,United States,New York,Health,"SoftBankGroup, Founders Fund",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Northvolt,9.08,12-06-2019,Sweden,Stockholm,Other,"Vattenfall, Volkswagen Group, Goldman Sachs",14.5208584,59.6749712,14.5208584,59.6749712,18.0710935,59.3251172
Tanium,9,31-03-2015,United States,Kirkland,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.1920249,47.6859573
Chehaoduo,9,12-03-2016,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
