Country of origin,latitude,longitude
Andorra,42.5,1.5
United Arab Emirates,24,54
Afghanistan,33,65
Antigua and Barbuda,17.05,-61.8
Anguilla,18.25,-63.17
Albania,41,20
Armenia,40,45
Netherlands Antilles,12.25,-68.75
Angola,-12.5,18.5
Asia/Pacific Region,35,105
Antarctica,-90,0
Argentina,-34,-64
American Samoa,-14.33,-170
Austria,47.33,13.33
Australia,-27,133
Aruba,12.5,-69.97
Azerbaijan,40.5,47.5
Bosnia and Herzegovina,44,18
Barbados,13.17,-59.53
Bangladesh,24,90
Belgium,50.83,4
Burkina Faso,13,-2
Bulgaria,43,25
Bahrain,26,50.55
Burundi,-3.5,30
Benin,9.5,2.25
Bermuda,32.33,-64.75
Brunei Darussalam,4.5,114.67
Bolivia,-17,-65
Brazil,-10,-55
Bahamas,24.25,-76
Bhutan,27.5,90.5
Bouvet Island,-54.43,3.4
Botswana,-22,24
Belarus,53,28
Belize,17.25,-88.75
Canada,60,-95
Cocos (Keeling) Islands,-12.5,96.83
"Congo, The Democratic Republic of the",0,25
Central African Republic,7,21
Congo,-1,15
Switzerland,47,8
Cote d'Ivoire,8,-5
Cook Islands,-21.23,-159.77
Chile,-30,-71
Cameroon,6,12
China,35,105
Colombia,4,-72
Costa Rica,10,-84
Cuba,21.5,-80
Cape Verde,16,-24
Christmas Island,-10.5,105.67
Cyprus,35,33
Czech Republic,49.75,15.5
Germany,51,9
Djibouti,11.5,43
Denmark,56,10
Dominica,15.42,-61.33
Dominican Republic,19,-70.67
Algeria,28,3
Ecuador,-2,-77.5
Estonia,59,26
Egypt,27,30
Western Sahara,24.5,-13
Eritrea,15,39
Spain,40,-4
Ethiopia,8,38
Europe,47,8
Finland,64,26
Fiji,-18,175
Falkland Islands (Malvinas),-51.75,-59
"Micronesia, Federated States of",6.92,158.25
Faroe Islands,62,-7
France,46,2
Gabon,-1,11.75
United Kingdom,54,-2
Grenada,12.12,-61.67
Georgia,42,43.5
French Guiana,4,-53
Ghana,8,-2
Gibraltar,36.18,-5.37
Greenland,72,-40
Gambia,13.47,-16.57
Guinea,11,-10
Guadeloupe,16.25,-61.58
Equatorial Guinea,2,10
Greece,39,22
South Georgia and the South Sandwich Islands,-54.5,-37
Guatemala,15.5,-90.25
Guam,13.47,144.78
Guinea-Bissau,12,-15
Guyana,5,-59
Hong Kong,22.25,114.17
Heard Island and McDonald Islands,-53.1,72.52
Honduras,15,-86.5
Croatia,45.17,15.5
Haiti,19,-72.42
Hungary,47,20
Indonesia,-5,120
Ireland,53,-8
Israel,31.5,34.75
India,20,77
British Indian Ocean Territory,-6,71.5
Iraq,33,44
"Iran, Islamic Republic of",32,53
Iceland,65,-18
Italy,42.83,12.83
Jamaica,18.25,-77.5
Jordan,31,36
Japan,36,138
Kenya,1,38
Kyrgyzstan,41,75
Cambodia,13,105
Kiribati,1.42,173
Comoros,-12.17,44.25
Saint Kitts and Nevis,17.33,-62.75
"Korea, Democratic People's Republic of",40,127
"Korea, Republic of",37,127.5
Kuwait,29.34,47.66
Cayman Islands,19.5,-80.5
Kazakhstan,48,68
Lao People's Democratic Republic,18,105
Lebanon,33.83,35.83
Saint Lucia,13.88,-61.13
Liechtenstein,47.17,9.53
Sri Lanka,7,81
Liberia,6.5,-9.5
Lesotho,-29.5,28.5
Lithuania,56,24
Luxembourg,49.75,6.17
Latvia,57,25
Libyan Arab Jamahiriya,25,17
Morocco,32,-5
Monaco,43.73,7.4
"Moldova, Republic of",47,29
Montenegro,42,19
Madagascar,-20,47
Marshall Islands,9,168
Macedonia,41.83,22
Mali,17,-4
Myanmar,22,98
Mongolia,46,105
Macao,22.17,113.55
Northern Mariana Islands,15.2,145.75
Martinique,14.67,-61
Mauritania,20,-12
Montserrat,16.75,-62.2
Malta,35.83,14.58
Mauritius,-20.28,57.55
Maldives,3.25,73
Malawi,-13.5,34
Mexico,23,-102
